name,country,mouse,dpi,sens
ScreaM,Belgium,Logitech G Pro X Superlight Black,400,0.725
yay,United States,Logitech G Pro X Superlight Black,800,0.27
dev1ce,Denmark,Logitech G Pro X Superlight Magenta,400,1.9
mL7,Romania,Razer DeathAdder Essential,800,0.617
kennyS,France,Razer Deathadder V3 Pro Black,400,2.2
ropz,Estonia,ZOWIE EC2-CW,400,1.77
shroud,Canada,Logitech G303 Shroud Edition,400,2.4
XANTARES,Turkey,ZOWIE FK1-C,400,2.0
m0NESY,Russia,Logitech G Pro X Superlight Red,400,2.0
TenZ,Canada,Logitech G Pro X Superlight Black,1600,0.2
Twistzz,Canada,Logitech G Pro X Superlight White,400,1.7
b1t,Ukraine,Logitech G Pro X Superlight Red,400,1.42
s1mple,Ukraine,Logitech G Pro X Superlight White,400,3.09
ZywOo,France,ZOWIE EC2-CW,400,2.0
NiKo,Bosnia & Herzegovina,VAXEE XE Wireless Black,400,1.52
Mazino,Chile,Logitech G703,1600,0.15
Alfajer,Turkey,Logitech G Pro X Superlight White,400,0.45
Kephrii,United States,ASUS ROG Gladius,400,1.714
d3ffo,Russia,VAXEE ZYGEN NP-01,800,0.51
pAura,Turkey,ZOWIE S2,400,0.55
Kyedae,Canada,Logitech G Pro X Superlight White,800,0.44
b0i,United States,Logitech G303 Shroud Edition,1600,0.47
SirMaza,Spain,Logitech G Pro X Superlight Black,400,0.5
Leo,Sweden,Razer Deathadder V3 Pro White,400,0.41
Enzo,France,Logitech G Pro X Superlight Black,800,0.5
Aunkere,Russia,Logitech G Pro X Superlight Black,500,2.1
YEKINDAR,Latvia,ZOWIE EC2-CW,800,1.2
Mistic,United Kingdom,VAXEE ZYGEN NP-01,400,0.58
L1NK,United Kingdom,VAXEE XE Wireless Black,800,0.24
electronic,Russia,ZOWIE EC2-CW,400,2.2
Spinx,Israel,Razer Deathadder V3 Pro Black,900,1.1
dupreeh,Denmark,ZOWIE EC2-CW,400,1.7
Magisk,Denmark,Razer Deathadder V3 Pro White,800,1.0
Perfecto,Russia,VAXEE XE Wireless Pink,800,1.0
npl,Ukraine,Logitech G Pro X Superlight Red,800,1.55
Zekken,United States,Logitech G Pro X Superlight Black,1600,0.175
Sacy,Brazil,Logitech G Pro X Superlight Magenta,800,0.425
pANcada,Brazil,ZOWIE EC2-CW,800,0.28
jks,Australia,Razer Deathadder V3 Pro White,400,1.7
huNter,Bosnia & Herzegovina,Logitech G Pro X Superlight Black,400,2.17
HooXi,Denmark,Logitech G Pro X Superlight Red,400,2.5
Wicadia,Turkey,Logitech G Pro X Superlight Black,400,1.7
xfl0ud,Turkey,ZOWIE EC3-CW,800,1.3
Calyx,Turkey,Logitech G Pro X Superlight Magenta,800,1.3
woxic,Turkey,SteelSeries Sensei Ten,1620,1.5
keloqz,France,Logitech G Pro X Superlight Black,400,0.44
Boo,Lithuania,Razer Viper V2 Pro Black,400,0.75
mixwell,Spain,Logitech G703,400,0.69
Zeek,Poland,Logitech G Pro X Superlight Magenta,800,0.37
AvovA,Denmark,Logitech G Pro X Superlight Black,800,0.333
garnetS,Thailand,Logitech G Pro X Superlight Red,800,0.86
JitBoyS,Thailand,Logitech G Pro X Superlight Black,800,0.35
Patiphan,Thailand,Endgame Gear XM1R,800,0.7
Magnum,Czechia,Razer Viper V2 Pro Black,400,0.454
phaze,Egypt,Razer Deathadder V3 Pro Black,800,0.4
Victor,United States,Logitech G Pro X Superlight Black,800,0.283
Rogue,Canada,FinalMouse Starlight-12,400,2.5
aqua,Austria,Logitech G Pro X Superlight Black,800,0.617
TaySon,Slovenia,Logitech G Pro X Superlight Black,1600,0.323
MrSavage,Norway,Roccat Kone Pro Air,800,0.617
Sommerset,United States,Logitech G Pro X Superlight Magenta,800,0.617
Kenzo,Sweden,Glorious Model O- Wireless,800,0.617
nitr0,United States,VAXEE XE Wireless Blue,400,1.8
sScary,Thailand,Logitech G Pro X Superlight Black,800,0.36
Shao,Russia,Logitech G Pro X Superlight Magenta,400,0.428
Melser,Chile,Logitech G Pro X Superlight Magenta,400,0.56
EpikWhale,United States,Logitech G Pro Wireless,800,0.617
Toose,Russia,Logitech G305,800,0.617
Crws,Thailand,Razer Deathadder V3 Pro Black,1600,0.15
oSee,United States,Razer Viper Mini Signature Edition,800,0.85
stellar,United States,Logitech G Pro X Superlight White,800,0.3
NAF,Canada,VAXEE XE Orange,400,1.6
sushiboys,Thailand,Logitech G Pro X Superlight Magenta,800,0.37
bang,United States,Logitech G Pro X Superlight Black,800,0.32
Asuna,United States,Razer Deathadder V3 Pro Black,1400,0.272
EliGE,United States,Logitech G Pro X Superlight Black,1600,0.74
Endretta,Norway,Razer Viper Mini,400,1.714
Andilex,France,Razer Viper V2 Pro Black,700,0.251
ardiis,Latvia,Logitech G Pro X Superlight Black,800,0.27
falltw,Russia,Razer Deathadder V3 Pro Black,800,0.377
derrek,United States,Logitech G Pro X Superlight Black,800,0.375
Boaster,United Kingdom,Logitech G Pro X Superlight White,400,0.52
Derke,Finland,Logitech G Pro X Superlight Black,400,0.74
Chronicle,Russia,VAXEE XE Wireless Yellow,800,0.25
nyhrox,Norway,FinalMouse Air58 Ninja CBR,800,0.617
s0m,United States,Logitech G Pro X Superlight Red,400,0.8
FNS,Canada,Logitech G Pro Wireless,400,0.55
crashies,United States,Logitech G Pro Wireless,800,0.25
Shniider,Egypt,Razer Deathadder V3 Pro Black,400,0.6
kiNgg,Chile,Logitech G Pro X Superlight Black,800,0.27
Tacolilla,Chile,Logitech G Pro X Superlight Black,800,0.3
Shyy,Chile,Razer Viper V2 Pro Black,800,0.32
Snacky,Mexico,Logitech G Pro X Superlight Black,800,0.617
Klaus,Argentina,Razer Viper V2 Pro Black,800,0.5
keznit,Chile,Logitech G Pro X Superlight Black,800,0.346
ANGE1,Ukraine,Razer Deathadder V3 Pro White,800,0.5
cNed,Turkey,VAXEE XE Wireless Blue,800,0.32
Zyppan,Sweden,VAXEE XE Wireless Orange,800,0.3
letw1k3,Russia,Logitech G Pro X Superlight Black,800,0.617
Reet,United States,Logitech G Pro Wireless,800,0.617
lyr1c,United States,Logitech G Pro X Superlight White,1600,0.65
mwzera,Brazil,VAXEE XE Wireless Pink,800,0.3
Suygetsu,Russia,ZOWIE EC2 RED V2,800,0.25
C0M,United States,Logitech G Pro X Superlight White,800,0.3
NagZet,Chile,Logitech G Pro X Superlight Magenta,400,0.58
Xdll,Japan,Logitech G Pro X Superlight Black,800,0.285
trent,United States,FinalMouse Starlight Pro,1600,0.125
BCJ,United States,Glorious Model D- Wireless White,800,0.37
russ,Turkey,VAXEE OUTSET AX Glossy,800,0.48
foxz,Thailand,Pulsar X2,800,0.485
pyth,Sweden,ZOWIE EC2-CW,400,2.6
Cryocells,United States,Logitech G Pro X Superlight Magenta,800,0.3
nzr,Argentina,Logitech G Pro X Superlight Black,800,0.45
Kalios,South Korea,Logitech G Pro X Superlight Black,800,0.617
